goods_discount_quote,goods_name,goods_p_price,gifts,goods_image_path,venderid,goods_discount,goods_price,goods_ad,goods_promotion,goods_brand_id,goods_id,goods_image_url
3000,华硕（ASUS）ROG-STRIX-GeForce RTX2070-O8G-GAMING 1410-1845MHz 14000MHz猛禽游戏电竞专业显卡 8G,5099.00,漫威卡通钢铁侠小号摆件车内摆件复仇者联盟3机箱手办漫威动漫模型手办汽车摆件2.5英寸正版漫威新款,full/e678671cf1cd7c79ab9500cc52ccd6f37c8e8863.jpg,1000000225,400,5299.00,"【领券立减400,赠剑网3专属礼包+钢铁侠手办】全新超频软件!升级镜面直触技术！",,8551,100000913459,https://img14.360buyimg.com/n7/jfs/t1/2028/36/16570/179335/5be2a0ebE2de9914e/73ce5d23201031c6.jpg
0,索泰（ZOTAC）GeForce RTX2080-8GD6 X-GAMING OC吃鸡显卡/游戏电竞台式机独立显卡1515-1770/14000MHz,5699.00,,full/98ad23cf6cfb2c4f4d29a091c34b4c3d847a764e.jpg,1000002556,0,5699.00,"【赠剑网3游戏礼包】RGB信仰灯,强化供电,合金骨架,Type-C接口!",,16546,8945609,https://img14.360buyimg.com/n7/jfs/t25246/303/812880972/286156/917c8fda/5b7b80bdN3df1d49f.jpg
0,华硕（ASUS）ROG STRIX-GeForce RTX 2080-O8G-GAMING 1515-1890MHz 14000MHz猛禽游戏电竞专业显卡 8G,7599.00,漫威卡通钢铁侠小号摆件车内摆件复仇者联盟3机箱手办漫威动漫模型手办汽车摆件2.5英寸正版漫威新款,full/e110111d789df5f4a0e2948ab9435d042d21c2c2.jpg,1000000225,0,7999.00,"【买即减350,赠剑网3专属礼包+钢铁侠手办】全新超频软件+二代风扇控制,RGB神光同步!",每满1000元，可减50元现金,8551,8963509,https://img14.360buyimg.com/n7/jfs/t26161/266/2397353721/128038/fb0d5b0b/5bffcbdeNab7e41ae.jpg
3000,七彩虹（Colorful）iGame GeForce RTX 2070 Ultra  GDDR6 8G电竞游戏显卡,4199.00,,full/347ae661e446f4a49799d0808c2fa6d168cdd640.jpg,1000000267,400,4199.00,全新图灵架构、光线追踪技术游戏更爽更嗨，升级版iGame Zone II让显卡更DIY,,22215,100000675501,https://img11.360buyimg.com/n7/jfs/t26611/32/1041605578/97393/391cb1df/5bbf1ec7Nc99f6738.jpg
0,七彩虹（Colorful）iGame1050Ti 烈焰战神S-4GD5GTX1050Ti 1366-1480MHz/7000MHz 4G/128bit GDDR5 显卡,1149.00,,full/9dd0134d5e43ccc0a8cc29590a3cdaabff99b8bc.jpg,1000000267,0,1149.00,【京东上万口碑推荐显卡】RGB信仰灯、金属背板、数字供电实力兼具畅快游戏体验,,22215,3543805,https://img10.360buyimg.com/n7/jfs/t1/3520/27/12076/113934/5bd183c6E53732f42/de480a2d7af61a72.jpg
3000,技嘉(GIGABYTE)GeForce RTX 2070 GAMING OC 1740-1725MHz 14000MHz 256bit GDDR6 8G 电竞游戏显卡,4599.00,,full/2a27853397cd56db1af3d7de116ae0ee602464ba.jpg,1000000297,400,4599.00,"【迎双旦3000-400】2070OC小黑,朝生碧海逆水成寒,电竞“吃鸡”显卡(此商品不参加上述活动)",,8900,100000902612,https://img12.360buyimg.com/n7/jfs/t26677/326/2111888031/203115/5f7d5b29/5bff971aN650b257d.jpg
1000,蓝宝石（Sapphire）RX580 8G D5 超白金 OC 1340-1411MHz/8000MHz 8GB/256bit GDDR5 DX12 吃鸡显卡,1699.00,,full/fcfe489b1f7c79343b210005c76e12b8a2b099f0.jpg,1000005574,50,1699.00,8G大显存，全新Dual-X 四热管双风扇散热系统，畅爽游戏,满999元减50元,10864,4879936,https://img11.360buyimg.com/n7/jfs/t1/4295/5/13014/159382/5bd67f65Eb40386ff/936a23cf7f34d35c.jpg
0,索泰（ZOTAC）GTX1070Ti Mini吃鸡显卡/游戏电竞台式机独立显卡 8GD5/1607-1683/8008MHz,3099.00,,full/77943ace8c3a02f26ebd694f7778c7c0375839d4.jpg,1000002556,0,3099.00,"【游戏独显,优选索泰京东自营GTX吃鸡显卡!】有信仰的游戏小钢炮,9+10cm非对称双风扇!典藏高性能迷你卡!",,16546,100000399872,https://img12.360buyimg.com/n7/jfs/t1/537/9/5739/327859/5b9f6819E15d64ff4/db52bb466510714d.jpg
1000,蓝宝石（Sapphire）RX590 8G D5 超白金极光特别版1545-1560MHz/8000-8400MHz 8GB/256bit GDDR5 DX12显卡,1999.00,,full/124db4675d5ee033b31b7fe7c0ab9bb6b479ac35.jpg,1000005574,50,1999.00,12nm新制程，RGB光效加持，更高性能助你开启新征程,,10864,100001800296,https://img11.360buyimg.com/n7/jfs/t1/9690/37/7569/341838/5be39281Ecf657067/1ee2dae5e4585293.jpg
0,七彩虹(Colorful)iGame1060烈焰战神U-6GD5 Top GTX1060 6G 192bit吃鸡显卡,1799.00,,full/8b31685b0ccb4453dc1fd83b96845eac6421f7af.jpg,1000000267,0,1799.00,iGame显卡过万评价认可，三风扇散热，一键超频，装机好选择,,22215,2979203,https://img13.360buyimg.com/n7/jfs/t7777/231/1451026090/76492/9e967724/599d20b9Nff33cdc8.jpg
0,索泰（ZOTAC）GeForce GTX1060至尊Plus OC吃鸡显卡/游戏电竞台式机独立显卡 6GD5/1607-1835/8108MHz,1999.00,,full/b8692055d0d2d6d9fd671543642281c436342b8d.jpg,1000002556,0,1999.00,【赠剑网3游戏礼包】酷炫信仰灯!10相壕供电!4风扇散热更出色!,,16546,3449888,https://img13.360buyimg.com/n7/jfs/t5584/223/9728413684/198118/f41cf605/59896c76Nc8e83ed6.jpg
0,华硕（ASUS）ROG STRIX-GTX1060-A6G-GAMING  猛禽系列游戏吃鸡”显卡,2389.00,,full/4ca411b50acd026612aa30d1aff0a6962b25b65f.jpg,1000000225,0,2499.00,"【买即减100,赠剑网3专属礼包】一键超频!神光同步!热管直触三风扇!全自动制程工艺!",每满1000元，可减50元现金,8551,8601922,https://img12.360buyimg.com/n7/jfs/t1/6195/36/7297/170586/5be2a283Eae23ff6f/126711aaa02ad697.jpg
0,微星（MSI）GeForce RTX 2080 GAMING X TRIO 8GB 1515-1860MHz 256BIT GDDR6 电竞魔龙 新代显卡,7499.00,,full/b5367ab70f5b31f4a4acfd336918a4e21205cda4.jpg,1000000266,0,7499.00,"【旧卡升级大额补贴,剑网3游戏礼包,年终大抽奖】（28日起2070领券减400）",,17443,8928883,https://img13.360buyimg.com/n7/jfs/t1/516/40/9641/262078/5bac51b8E5850ea3c/c0dec78249729cd9.jpg
3000,微星（MSI）GeForce RTX 2070 ARMOR 8G 1410-1620MHz 256BIT GDDR6 装甲师 电竞游戏显卡,4299.00,,full/57f307b0fe9a34fe24189ff6ab59ef3936c2ef5b.jpg,1000000266,400,4299.00,"【旧卡升级大额补贴,剑网3游戏礼包,年终大抽奖】（28日起2070领券减400）",,17443,100000871187,https://img12.360buyimg.com/n7/jfs/t26191/179/1130206787/256035/38e53b66/5bc05d84N3fdc3e14.jpg
0,映众 GeForce GTX1060 X3冰龙海量版 ICHILL 1771/8000MHz 6GB/192Bit GDDR5 PCI-E 吃鸡显卡,1829.00,,full/ddddef3311c5822eacc790413f7859d13731500c.jpg,1000005704,0,1829.00,特效流畅吃鸡！逢6必火！十力不凡！超公版性能更强劲，三风扇巨无霸更低温，带金属背板及LED呼吸灯！,,19972,3251468,https://img13.360buyimg.com/n7/jfs/t8749/133/1385905979/370852/9f5a2b4f/59b8ade6N4b67cc0d.jpg
0,索泰（ZOTAC）GTX1060 X-GAMING OC M3吃鸡显卡/游戏电竞台式机独立显卡 6GD5/1569-1784/8008MHz,1799.00,,full/d0e96cc8187745e9584c6f0267e6bae1653d68ba.jpg,1000002556,0,1799.00,【赠剑网3游戏礼包】爆款1066升级版!三风扇壕用料!酷炫信仰灯!,,16546,8173834,https://img14.360buyimg.com/n7/jfs/t23341/319/920049308/234163/dd2aca0a/5b485f42N3b4298c7.jpg
0,七彩虹（Colorful）iGame GeForce RTX 2080 Ti Advanced OC  GDDR6 11G电竞游戏显卡,9999.00,,full/cd39225ddc11ef8760d5c490c8d1b0ebfc569c64.jpg,1000000267,0,9999.00,【RNG专用显卡】iGame RTX20显卡大有不同，光影技术、图灵架构游戏新动力，iGame真空冰片技术加银鲨散热器2.0双重加持,,22215,8963629,https://img14.360buyimg.com/n7/jfs/t24244/262/2542206198/105700/eb07e1eb/5b84fb6aNd4b9a6a4.jpg
